"row_id","fofId","mass","np","m.np"
44259,416001057140,35352301568,258,258
44260,416001025530,36585500672,267,267
44261,416001273230,28638099456,209,209
44262,416000679650,58235400192,425,425
44263,416000989540,38092800000,278,278
44264,416000999150,37681700864,275,275
44265,416000270810,163744006144,1195,1195
44266,416000550540,73856196608,539,539
44267,416000656540,60564799488,442,442
44268,416000723530,54261698560,396,396
44269,416001060610,35215298560,257,257
44270,416000180170,258291007488,1885,1885
44271,416000405320,104276000768,761,761
44272,416000841310,45766201344,334,334
44273,416001002570,37544701952,274,274
44274,416001267910,28775100416,210,210
44275,416000385610,110305001472,805,805
44276,416000577310,70019497984,511,511
44277,416000076030,670461001728,4893,4893
44278,416000492660,83722002432,611,611
44279,416000968140,39052001280,285,285
44280,416000078360,648948023296,4736,4736
44281,416000359170,119484997632,872,872
44282,416000120570,403399999488,2944,2944
44283,416000037020,1463279943680,10679,10679
44284,416000799000,48506699776,354,354
44285,416000850300,45218099200,330,330
44286,416000441110,94820900864,692,692
44287,416000714230,55083798528,402,402
44288,416000819700,47136399360,344,344
44289,416000093800,532887994368,3889,3889
44290,416000291550,150864003072,1101,1101
44291,416000805090,48095600640,351,351
44292,416000439490,95232000000,695,695
44293,416000864240,44395900928,324,324
44294,416000480730,86051397632,628,628
44295,416001306700,27815999488,203,203
44296,416000145480,328174010368,2395,2395
44297,416000237010,190326996992,1389,1389
44298,416000588780,68512198656,500,500
44299,416000881040,43436802048,317,317
44300,416001252540,29186199552,213,213
44301,416000096540,516582014976,3770,3770
44302,416000789200,49191800832,359,359
44303,416000499990,82351702016,601,601
44304,416001237200,29597300736,216,216
44305,416000027390,2017960001536,14727,14727
44306,416000701880,56179998720,410,410
44307,416000133590,360374009856,2630,2630
44308,416000295010,148945993728,1087,1087
44309,416000891150,42888699904,313,313
44310,416000567490,71389798400,521,521
44311,416000622840,64264499200,469,469
44312,416000468290,88654798848,647,647
44313,416000569470,71115702272,519,519
44314,416000327520,132503003136,967,967
44315,416001148670,32200800256,235,235
44316,416000965340,39189000192,286,286
44317,416000409180,103179001856,753,753
44318,416000602720,66730901504,487,487
44319,416000787250,49328799744,360,360
44320,416000412120,102357000192,747,747
44321,416000825980,46725300224,341,341
44322,416000919930,41381400576,302,302
44323,416001193350,30830499840,225,225
44324,416000193230,238697005056,1742,1742
44325,416000090820,551935016960,4028,4028
44326,416000857200,44807000064,327,327
44327,416000033350,1634839953408,11931,11931
44328,416001284500,28364099584,207,207
44329,416000047210,1131959943168,8261,8261
44330,416001015680,36996599808,270,270
44331,416000964960,39189000192,286,286
44332,416000927870,40970301440,299,299
44333,416000431810,97150402560,709,709
44334,416000540770,75363500032,550,550
44335,416001257730,29049200640,212,212
44336,416000197900,232393998336,1696,1696
44337,416000823870,46862401536,342,342
44338,416001198060,30693500928,224,224
44339,416000101230,489725001728,3574,3574
44340,416000854850,44943998976,328,328
44341,416000087130,577146978304,4212,4212
44342,416000300340,145930993664,1065,1065
44343,416000271630,163195994112,1191,1191
44344,416000410630,102768001024,750,750
44345,416001312410,27678900224,202,202
44346,416000475340,87147601920,636,636
44347,416001043160,35900399616,262,262
44348,416000947890,40011100160,292,292
44349,416000284030,155249000448,1133,1133
44350,416000484900,85229199360,622,622
44351,416000559060,72622997504,530,530
44352,416000977360,38640898048,282,282
44353,416001057430,35352301568,258,258
44354,416000540820,75363500032,550,550
44355,416000703430,56042999808,409,409
44356,416000286580,153741000704,1122,1122
44357,416000170710,274460000256,2003,2003
44358,416001107170,33571000320,245,245
44359,416000379490,112359997440,820,820
44360,416001064820,35078299648,256,256
44361,416000845770,45492101120,332,332
44362,416000868820,44121899008,322,322
44363,416000080010,634423017472,4630,4630
44364,416000801050,48369598464,353,353
44365,416000452650,92080398336,672,672
44366,416000715550,54946799616,401,401
44367,416001018930,36859600896,269,269
44368,416000501520,82077696000,599,599
44369,416000909140,41929498624,306,306
44370,416000757470,51521200128,376,376
44371,416001131040,32748900352,239,239
44372,416000509590,80570400768,588,588
44373,416001005990,37407698944,273,273
44374,416000798990,48506699776,354,354
44375,416001246770,29323200512,214,214
44376,416000499910,82351702016,601,601
44377,416001236600,29597300736,216,216
44378,416001148110,32200800256,235,235
44379,416000280050,157715005440,1151,1151
44380,416000145240,328721989632,2399,2399
44381,416000003810,14304100220928,104391,104391
44382,416001226330,29871300608,218,218
44383,416001283440,28364099584,207,207
44384,416001086830,34256099328,250,250
44385,416000983040,38366900224,280,280
44386,416001202240,30556499968,223,223
44387,416000331800,130584002560,953,953
44388,416000546980,74404298752,543,543
44389,416000123190,394081992704,2876,2876
44390,416001042950,35900399616,262,262
44391,416000223910,202522001408,1478,1478
44392,416000194910,236367003648,1725,1725
44393,416000226230,200330002432,1462,1462
44394,416000703240,56042999808,409,409
44395,416001135660,32611799040,238,238
44396,416000330840,130995003392,956,956
44397,416000350970,122637000704,895,895
44398,416001106640,33571000320,245,245
44399,416000099220,500962000896,3656,3656
44400,416000928090,40970301440,299,299
44401,416000442190,94546903040,690,690
44402,416000968330,39052001280,285,285
44403,416000675370,58646499328,428,428
44404,416000845490,45492101120,332,332
44405,416000944760,40148201472,293,293
44406,416000797020,48643698688,355,355
44407,416000752210,51932299264,379,379
44408,416000433900,96602300416,705,705
44409,416001192720,30830499840,225,225
44410,416000631130,63305302016,462,462
44411,416000464340,89476997120,653,653
44412,416000474690,87284596736,637,637
44413,416000347740,123870003200,904,904
44414,416000807070,47958601728,350,350
44415,416001231920,29734299648,217,217
44416,416000440530,94958002176,693,693
44417,416000939430,40422199296,295,295
44418,416000158580,297891004416,2174,2174
44419,416000672530,58920501248,430,430
44420,416000959080,39463100416,288,288
44421,416000477210,86736502784,633,633
44422,416000794700,48780701696,356,356
44423,416000950360,39874101248,291,291
44424,416001094980,33982099456,248,248
44425,416001289920,28227000320,206,206
44426,416000170490,274870992896,2006,2006
44427,416000189170,244451999744,1784,1784
44428,416001152920,32063700992,234,234
44429,416000864220,44395900928,324,324
44430,416001111180,33433999360,244,244
44431,416000015420,3660749996032,26716,26716
44432,416000762820,51110100992,373,373
44433,416000326330,133050998784,971,971
44434,416001131770,32748900352,239,239
44435,416000450230,92628500480,676,676
44436,416000618260,64812601344,473,473
44437,416001284450,28364099584,207,207
44438,416000809250,47821500416,349,349
44439,416000871290,43984900096,321,321
44440,416000764300,50973097984,372,372
44441,416001011790,37133598720,271,271
44442,416000243470,184572002304,1347,1347
44443,416000510370,80433397760,587,587
44444,416000341680,126336999424,922,922
44445,416000464420,89476997120,653,653
44446,416001165200,31652700160,231,231
44447,416000659020,60290801664,440,440
44448,416000805070,48095600640,351,351
44449,416000852210,45081100288,329,329
44450,416000558920,72622997504,530,530
44451,416000888590,43025698816,314,314
44452,416001148090,32200800256,235,235
44453,416000390850,108659998720,793,793
44454,416000942320,40285200384,294,294
44455,416000128690,375583997952,2741,2741
44456,416001161640,31789699072,232,232
44457,416000914170,41655398400,304,304
44458,416000497580,82762801152,604,604
44459,416001246750,29323200512,214,214
