#BDM		FOF	R_MCMC/R_BDM
8506800656 85000066857 7.912489
8506801188 85000027862 26.638885
8506831457 85000333739 9.587839
8506802976 85000006455 13.237211
8506828905 85008069375 9.231582
8506837934 85007769220 5.397425
8506808527 85000223190 7.155281
8506823090 85007769169 5.409030
8506848676 85000322126 6.436036
8506858964 85002302945 6.445491
8506841644 85008200082 5.368010
8506846269 85007634182 8.042007
8506851609 85008522027 5.021973
8506850095 85008661796 6.344942
8506818685 85007925124 5.062679
8506807855 85000270326 9.229075
8506817820 85008202364 6.298408
8506853016 85000347926 6.029702
8506858334 85000945816 5.196863
8506809677 85007785021 5.388204
8506860448 85001957332 8.369926
8506862254 85000084009 19.163546
8506838718 85000176006 5.582056
8506809580 85007784504 6.578278
8506816143 85000896001 8.133952
8506842027 85000303057 11.481192
8506809934 85000347932 5.921296
8506813924 85000115696 5.774789
8506830519 85000049512 12.849519
8506849679 85000483661 7.029332
8506853296 85000161556 6.089723
8506834561 85000226305 10.462016
8506827767 85000179226 10.714600
8506813596 85001001901 7.782689
8506814502 85000150716 9.335871
8506809562 85008679225 7.987897
8506838867 85000575650 5.629482
8506856479 85000027666 9.379275
8506807722 85000134488 6.271294
8506809282 85008679761 5.048758
8506812335 85000272852 7.515342
8506825170 85000034399 11.752185
8506840217 85000109933 11.819429
8506840819 85002899700 5.772289
8506848249 85000530279 11.548245
8506847959 85000104801 11.064916
8506847724 85001163856 7.828903
8506829297 85000116676 8.558292
8506826386 85008367328 6.050796
8506841922 85001241706 12.522949
8506852683 85000207633 15.449085
8506837456 85005330582 5.044362
8506814045 85000057781 13.608342
8506821132 85000031876 27.353811
8506820616 85001956057 9.788260
8506817803 85000063993 5.199743
8506860590 85000260514 10.156046
8506853578 85001145134 6.671961
8506846831 85006100462 7.510613
8506847614 85000033447 8.379673
8506803067 85000279028 11.242707
8506818857 85000083751 13.670373
8506814369 85000115696 7.828924
8506815770 85000021300 33.210797
8506849223 85001518831 5.167927
8506851898 85000305475 11.400267
8506846260 85003217712 5.371585
8506830306 85007248087 7.480097
8506811424 85008664561 8.940624
8506846580 85000174369 10.334036
8506844560 85000594902 6.364124
8506847011 85000049300 14.709853
8506825569 85000058826 11.124593
8506828012 85005690896 5.523873
8506840814 85000023154 27.237072
8506812377 85001760465 11.159968
8506820599 85000284889 6.036917
8506814203 85008507108 6.756868
8506834961 85003367393 5.316562
8506830967 85000065406 11.346444
8506848369 85000104801 6.496158
8506830910 85000047486 21.622096
8506813105 85000986224 6.655756
8506809045 85000014138 28.744514
8506856167 85000233590 12.892883
8506831026 85000013854 8.968210
8506831157 85000013854 8.176393
8506805539 85000014138 11.195652
8506817653 85001754182 7.660565
8506826536 85000055549 5.112393
8506835475 85006475259 6.986974
8506825807 85008521458 5.567864
8506812242 85000262842 15.735354
