#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 550 
#	and f.y between 450 and 550
#	and f.z between 450 and 550
#	and snapnum = 85 
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:35:28.519 CEST
#QUERYTIME 59 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
85001453808,479.4943,497.4097,460.0369,291
85001459167,462.7442,464.4579,451.2645,290
85001459170,496.5315,485.3715,479.7715,290
85001469040,491.9374,463.4995,495.6904,288
85001473836,488.7056,454.3706,451.1432,287
85001504082,482.0513,460.8562,491.2037,281
85001509163,495.6403,472.1952,466.3553,280
85001524642,466.623,454.9879,469.4127,277
85001524647,490.3331,464.7485,469.7982,277
85001529943,471.2778,470.0435,456.5277,276
85001529944,473.5061,477.3679,494.2753,276
85001540505,471.0544,459.2212,465.2896,274
85001551397,473.6093,454.4459,492.5441,272
85001551400,493.4403,476.7593,470.4245,272
85001567939,470.3937,469.617,451.064,269
85001579036,481.7132,460.4817,454.1957,267
85001590460,463.5548,453.4101,478.9623,265
85001595567,491.9497,499.8074,471.6381,264
85001596118,480.061,480.8814,459.0386,264
85001596124,489.6987,466.4802,483.4666,264
85001601972,459.4249,454.0055,451.5667,263
85001625537,464.5967,452.9539,462.1999,259
85001625544,497.2348,482.471,486.121,259
85001631479,481.7542,475.8991,481.405,258
85001637643,473.7503,485.8769,487.1844,257
85001656349,470.541,479.1165,456.4471,254
85001661883,472.9616,495.2578,453.2652,253
85001681629,455.9161,450.9696,488.0564,250
85001701144,487.416,469.9434,455.3336,247
85001701146,474.4264,456.2762,472.2723,247
85001701151,499.6749,491.3749,487.1537,247
85001706967,469.8975,498.1663,484.6872,246
85001713507,468.9864,493.9242,488.6783,245
85001727717,495.8567,481.049,481.194,243
85001754182,492.3305,496.2079,474.7858,239
85001761222,488.5233,497.1151,479.8457,238
85001762053,477.3178,450.6943,459.5646,238
85001783349,473.003,471.814,458.7329,235
85001783354,493.3382,467.01,471.7257,235
85001805212,495.6577,492.2805,450.9822,232
85001820101,495.9032,480.0055,485.881,230
85001827627,488.4065,458.8928,483.9389,229
85001827629,489.6535,451.236,493.8295,229
85001835332,478.8122,473.8781,474.0844,228
85001842284,491.2266,499.3206,468.9968,227
85001850030,483.5476,495.4993,453.2365,226
85001850780,473.1067,477.0973,482.8115,226
85001850783,498.3878,459.583,498.2239,226
85001858673,491.2213,477.5568,457.8015,225
85001865614,474.8022,494.6311,455.027,224
85001866396,490.4809,488.7829,452.6099,224
85001873476,474.1507,494.2223,483.7209,223
85001874358,474.0614,452.0395,473.636,223
85001874361,496.8048,491.82,475.2242,223
85001882403,489.3316,469.0701,478.4496,222
85001888782,481.356,469.3986,450.6531,221
85001898639,468.4929,452.8141,483.5674,220
85001905988,479.9399,494.4398,452.4585,219
85001914103,476.2644,491.3247,454.029,218
85001923134,472.6065,471.7235,477.7507,217
85001923135,480.8246,472.1433,494.6156,217
85001938995,477.4312,488.2892,454.2368,215
85001939926,497.6314,466.519,459.4637,215
85001948443,496.5218,472.711,460.8751,214
85001948444,486.3138,461.2752,485.2321,214
85001956056,491.6226,497.2286,481.4131,213
85001957010,486.5123,464.6415,490.1439,213
85001974415,489.7242,471.0894,468.5109,211
85001982352,469.8282,491.1198,450.8488,210
85001983284,485.7242,464.1642,453.9637,210
85001991322,494.5674,499.472,469.9245,209
85001992185,485.5207,480.0797,460.709,209
85001992186,451.8773,460.5726,466.6259,209
85002001200,480.3168,463.915,451.5527,208
85002001203,473.239,479.1006,494.6639,208
85002009459,475.9527,494.1465,451.9151,207
85002017590,480.0153,471.7954,451.7598,206
85002028941,470.7524,467.8812,481.7175,205
85002047741,452.6976,450.2294,475.2793,203
85002057342,489.1399,475.3723,467.5165,202
85002057347,470.637,460.4789,483.6931,202
85002057350,484.4157,472.5799,490.291,202
85002066128,493.9932,496.8971,455.8226,201
85002076668,479.55,484.763,460.7868,200
85002076669,493.2921,451.7834,472.0492,200
85002076670,497.9779,492.5896,476.7051,200
85002086469,476.9267,481.5027,457.8726,199
85002105391,486.8337,496.3427,450.795,197
85002106388,484.3734,480.5767,473.9183,197
85002106390,488.3198,465.8698,489.3364,197
85002116492,464.6375,451.0128,487.7068,196
85002137128,477.2008,476.5829,454.3843,194
85002137130,483.7875,478.771,478.0168,194
85002137133,492.1569,476.4731,482.333,194
85002146344,481.7649,494.1566,465.6722,193
85002146445,487.6751,498.6033,465.0622,193
85002147428,483.4686,470.9901,492.7028,193
85002157937,466.9188,459.3326,466.8113,192
85002157939,491.9225,474.929,484.1938,192
85002168461,458.614,456.1664,451.9109,191
85002178274,478.5663,495.3254,465.9233,190
85002179281,475.4019,483.1866,456.2933,190
85002179282,476.6536,455.8574,460.4105,190
85002212072,490.3531,477.018,476.5143,187
85002212073,480.4413,487.0005,465.1567,187
85002222101,477.6633,493.9574,453.0357,186
85002223263,472.637,483.0278,483.8654,186
85002223264,471.3181,467.6342,482.5698,186
85002223266,495.6446,459.765,473.8866,186
85002234383,486.9725,463.5874,496.5401,185
85002234384,499.358,455.382,494.498,185
85002255928,473.3789,494.7604,452.0182,183
85002257078,493.5637,464.3502,491.0746,183
85002268630,485.4073,463.2462,452.7241,182
85002280482,466.0876,453.8595,476.7362,181
85002280484,482.1545,478.2349,480.137,181
85002291248,494.9713,499.8575,471.2636,180
85002292419,469.5316,456.6957,482.3157,180
85002292420,486.323,475.9745,481.8353,180
85002292422,489.0662,464.8321,483.3426,180
85002292423,482.5735,492.0099,455.3536,180
85002304268,451.5336,462.2365,452.9506,179
85002304274,493.1929,460.4991,473.3465,179
85002325987,485.6416,464.1498,452.2319,177
85002339632,477.2966,493.9934,452.2883,176
85002340886,495.1622,466.4219,454.9653,176
85002340887,458.4654,465.0823,455.2484,176
85002340892,477.979,484.7015,486.6008,176
85002353498,489.2659,464.9469,481.4376,175
85002353501,493.3258,459.8901,473.8032,175
85002353502,499.3592,455.8329,494.212,175
85002366236,476.2439,480.6058,458.3961,174
85002366242,473.2719,454.6381,489.8862,174
85002366245,491.78,481.9361,474.8409,174
85002366248,493.2783,487.0187,474.894,174
85002379106,472.8431,471.0971,454.4285,173
85002392167,498.3127,473.8052,460.1065,172
85002392168,472.7762,472.6813,460.0842,172
85002392173,499.2826,490.2757,479.335,172
85002403919,476.7742,496.1487,467.698,171
85002416931,492.0326,498.5165,482.7475,170
85002432033,469.2516,452.5978,487.7518,169
85002444138,490.5526,499.1181,489.4256,168
85002459392,492.3187,454.3164,453.1622,167
85002459395,475.9689,457.0258,468.4759,167
85002459396,471.5133,466.1311,483.53,167
85002459400,490.7904,466.438,495.4964,167
85002473331,483.2459,489.9577,462.3581,166
85002487400,485.8112,473.2687,489.2172,165
85002501491,487.4656,467.4458,473.0221,164
85002515840,461.3188,467.3055,464.717,163
85002515841,492.8606,473.1239,463.3172,163
85002530563,471.859,475.2837,473.4657,162
85002545255,485.1159,478.0184,461.0196,161
85002545258,450.05,451.9997,479.0301,161
85002560465,488.0228,465.4043,488.2042,160
85002560468,483.2848,493.2447,468.0771,160
85002560469,497.5747,491.776,480.5304,160
85002575616,453.0528,452.45,475.5525,159
85002575619,479.7857,470.7103,497.2245,159
85002575623,492.6996,461.4529,497.1108,159
85002589163,495.4781,498.9709,485.3979,158
85002590848,495.6418,485.2691,455.6804,158
85002604895,490.058,498.6014,454.4412,157
85002606348,487.9481,465.0497,464.7373,157
85002637731,487.6502,467.3035,493.6421,155
85002668096,483.5988,494.6619,452.5005,153
85002669650,470.4105,468.3693,481.0504,153
85002702408,490.1245,467.1243,494.3456,151
85002719300,498.313,481.8755,457.1908,150
85002719302,477.1288,474.2311,452.9119,150
85002719309,480.9247,490.1864,454.3292,150
85002734693,475.2628,496.2668,450.6045,149
85002736502,498.6024,474.6665,486.3539,149
85002736503,473.1586,487.2847,485.9941,149
85002751894,475.1196,493.834,455.9846,148
85002752055,489.3342,496.6555,451.076,148
85002753768,463.2213,456.3609,474.2903,148
85002788589,483.7886,467.0122,450.9458,146
85002788600,494.6881,468.2673,476.4756,146
85002806451,490.6601,468.8129,455.8852,145
85002806457,486.7722,473.2576,486.875,145
85002841148,495.44,497.5479,454.481,143
85002842877,472.906,478.3604,456.1718,143
85002842881,492.249,453.8276,470.8241,143
85002842882,481.7064,492.288,475.3805,143
85002861241,453.7462,464.2166,462.8113,142
85002878008,492.8701,494.2534,477.0793,141
85002880134,481.3351,478.5902,480.7819,141
85002880140,495.2763,468.5201,474.0114,141
85002880142,491.3675,488.9911,452.7612,141
85002898996,494.4313,459.827,498.4978,140
85002898997,498.8624,483.11,478.7978,140
85002899002,493.3508,487.6678,452.2107,140
85002918378,479.2088,461.9514,453.4557,139
85002918380,484.184,460.6902,454.3492,139
85002918381,494.4725,470.4342,461.1721,139
85002918383,487.7508,478.5765,472.3942,139
85002918390,483.0699,485.8546,499.5011,139
85002935970,477.9601,496.4078,457.461,138
85002937768,450.7868,460.6077,464.0849,138
85002955651,478.6026,494.2444,454.2293,137
85002957779,497.9911,459.8131,476.9849,137
85002957783,476.4355,489.7629,456.7659,137
85002976181,477.5383,496.6669,457.671,136
85002978054,499.5722,481.655,457.1157,136
85002978056,489.3756,468.4901,464.6339,136
85002978059,476.585,470.4384,483.0832,136
85002998584,465.5739,452.5898,482.1841,135
85002998585,465.6569,460.8939,480.0426,135
85002998586,465.0333,451.0928,485.2809,135
85002998587,475.5434,452.3628,497.1122,135
85002998594,479.1843,491.1098,482.4742,135
85002998595,496.9595,491.4259,474.1125,135
85003019120,499.9859,476.4429,451.645,134
85003035493,497.6001,483.497,450.8839,133
85003040058,453.3586,463.73,463.019,133
85003059101,499.28,497.1539,479.8937,132
85003061407,459.1533,464.561,455.3316,132
85003061412,487.3309,477.3925,460.6308,132
85003061421,469.7748,483.2717,494.2475,132
85003081121,476.4367,490.0645,454.655,131
85003083328,489.2422,468.3609,492.9379,131
85003102759,468.9133,498.6626,476.1547,130
85003105219,475.3454,480.7711,456.745,130
85003122677,481.0047,487.9824,450.5504,129
85003127383,490.3174,461.2859,497.7318,129
85003127385,489.9808,476.9127,479.4853,129
85003127386,491.2302,475.7041,482.0288,129
85003127392,488.6187,489.2592,499.5736,129
85003147423,488.5175,498.7704,475.1856,128
85003147623,475.7251,489.5586,455.7162,128
85003149987,454.0182,452.1338,487.6857,128
85003149989,482.893,464.1647,496.2441,128
85003170905,474.7611,498.1229,453.1354,127
85003173077,460.7856,468.3357,463.4201,127
85003173083,474.7011,455.9397,490.1465,127
85003173089,473.2982,488.5065,456.9362,127
85003193973,491.7963,497.1019,478.8559,126
85003196661,474.3748,476.07,468.1627,126
85003196662,473.0528,453.3974,489.9389,126
85003196663,487.1457,464.8674,489.6046,126
85003217671,493.7542,495.0782,478.8489,125
85003220400,474.4601,482.1382,455.7954,125
85003220402,469.3989,484.5577,457.4282,125
85003220410,481.4487,492.3984,454.7073,125
85003239353,470.4232,467.4416,450.4041,124
85003239354,470.0967,467.8661,450.8513,124
85003244528,474.717,483.4483,455.3949,124
85003244542,491.4412,476.563,475.313,124
85003268791,478.5975,479.3083,457.3939,123
85003268803,493.6595,473.0028,470.331,123
85003318708,480.9073,474.4745,472.768,121
85003318709,489.1563,459.3766,481.4728,121
85003344403,488.8914,465.256,451.8116,120
85003344409,467.4032,462.3369,467.6743,120
85003344410,465.1545,458.4147,470.6915,120
85003367835,469.9813,494.3298,450.3635,119
85003370271,478.4148,483.6389,456.3951,119
85003370277,488.4368,468.2315,478.4869,119
85003370278,476.1599,482.4361,487.7577,119
85003370281,490.5103,474.3383,469.9226,119
85003370284,499.4832,465.9419,499.706,119
85003390927,479.9739,472.2021,451.1712,118
85003396569,498.9597,483.3349,462.9209,118
85003396585,494.7694,492.2526,451.4863,118
85003423648,456.5448,454.1676,462.8081,117
85003445047,499.532,481.1317,450.3547,116
85003448029,469.2099,495.1976,487.8047,116
85003451091,489.506,456.9361,479.9193,116
85003451093,487.2915,460.3336,479.5949,116
85003451095,481.24,475.6151,481.5361,116
85003451096,483.5064,470.6103,485.9406,116
85003451099,493.9575,464.4365,492.8119,116
85003478855,474.9764,475.9852,469.4293,115
85003478863,492.21,474.0714,472.1295,115
85003478867,478.5448,487.8686,485.2982,115
85003507083,489.2794,477.101,459.9611,114
85003507085,489.9024,468.6672,465.8631,114
85003507088,480.308,468.8493,485.0536,114
85003507097,498.4704,459.9935,490.5963,114
85003535419,472.6633,454.6291,488.6959,113
85003535426,494.8012,468.0855,477.1006,113
85003561532,479.0296,496.4446,459.7533,112
85003564306,457.7943,467.7947,454.9466,112
85003564314,486.8879,474.8837,482.9921,112
85003564323,483.3574,488.9276,450.9704,112
85003590527,475.5288,491.3427,455.8936,111
85003593604,488.2788,476.1075,462.8883,111
85003593605,474.8564,485.9879,453.4464,111
85003593611,485.3819,477.0732,480.299,111
85003593618,483.7573,490.0524,465.0762,111
