#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 470 
#	and f.y between 450 and 470
#	and f.z between 450 and 470
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:28:24.435 CEST
#QUERYTIME 25956 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
46001909961,469.8074,464.1957,464.9242,125
46001966329,469.5916,463.2322,454.8255,122
46001985508,459.2104,462.196,463.9521,121
46002087637,460.4515,457.8446,466.0231,116
46002199475,466.5034,464.8968,464.2907,111
46002296361,460.5723,467.4943,459.0007,107
46002428847,453.5071,460.7384,462.4308,102
46002485605,452.6828,467.454,461.4843,100
46002514801,460.4542,459.6168,467.486,99
46002514802,459.8136,461.0316,466.5713,99
46002606890,457.0216,464.8497,457.4285,96
46002671787,459.7355,460.5616,466.8838,94
46002774286,466.3035,465.5341,465.0256,91
46002884070,469.3045,456.298,463.4514,88
46003173252,453.3192,460.9808,461.0141,81
46003266176,460.1735,466.8273,455.2733,79
46003466727,466.7831,460.4385,465.631,75
46003466728,468.0476,458.9842,466.3887,75
46003814683,469.7356,460.6633,466.2755,69
46004013339,458.394,461.1043,464.2879,66
46004155889,465.1719,463.3611,452.0798,64
46004308559,450.2446,456.7577,463.8393,62
46004389109,462.0094,468.0775,459.6079,61
46004558502,456.6077,451.4222,450.2346,59
46004558522,461.9476,466.6687,461.5931,59
46004647731,459.9919,461.1506,466.2648,58
46004740566,450.1615,464.3823,460.7913,57
46004740567,456.6401,456.6561,467.8753,57
46004740568,461.278,461.4259,465.7276,57
46004836879,457.9529,465.5018,457.5082,56
46004836880,454.8221,466.8267,459.1841,56
46004936906,469.9675,463.699,465.1512,55
46005040610,466.2777,463.0016,451.9827,54
46005040632,456.6932,456.4016,468.3404,54
46005040635,451.9442,455.6624,469.2432,54
46005148149,451.3009,458.6015,463.5561,53
46005148155,468.8921,459.8255,466.3348,53
46005148156,459.4567,459.7305,467.8722,53
46005260249,455.516,463.1363,457.7799,52
46005260250,457.8059,462.2335,461.5392,52
46005377357,463.2145,465.7533,462.9791,51
46005377362,459.2397,459.5262,468.1465,51
46005498990,464.8196,466.9456,460.3393,50
46005757747,461.4878,469.7289,457.0325,48
46005757748,466.4284,455.6218,464.0124,48
46005895403,458.8543,466.1704,459.1057,47
46005895405,462.5036,469.7663,458.7664,47
46006039198,461.9385,467.5726,459.8727,46
46006346050,452.5394,460.0972,461.7883,44
46006346056,468.0968,465.416,464.9889,44
46006510548,467.4548,463.2032,452.7254,43
46006510561,455.3153,451.1034,456.5817,43
46006510590,467.385,452.2184,465.1465,43
46006510596,468.4449,465.6165,464.9739,43
46006682039,455.3965,466.8091,451.6727,42
46006682044,466.927,469.9224,457.0171,42
46006682063,450.7898,458.2888,460.1311,42
46006682068,467.5927,463.6351,464.3102,42
46006861505,458.4618,462.1056,462.487,41
46007049822,458.8395,460.6739,463.9852,40
46007049828,465.4412,457.1269,468.4355,40
46007246701,455.9001,461.431,453.3621,39
46007668627,450.0053,463.3815,454.7006,37
46007668650,451.1826,469.0605,457.4016,37
46007895069,469.3913,463.1923,455.4964,36
46007895105,451.6654,466.2459,461.9744,36
46007895106,466.1808,461.7017,464.9341,36
46008132205,466.4039,467.9227,457.316,35
46008132216,450.893,455.3749,468.5492,35
46008380370,457.2022,457.2818,453.804,34
46008380415,467.2402,456.523,467.6353,34
46008641483,452.7645,460.1476,461.6882,33
46008641489,466.5837,453.5601,463.6115,33
46008641491,450.3128,460.199,462.3356,33
46008641493,466.2508,460.9843,465.3065,33
46008641498,467.0995,459.9557,465.9363,33
46008641500,459.712,455.8992,468.0898,33
46008913244,468.5943,464.2607,461.0264,32
46008913250,450.7119,455.911,466.3383,32
46009196722,450.5893,451.807,466.4182,31
46009495208,456.1651,459.915,453.063,30
46009495246,467.1219,454.6049,464.3614,30
46009495247,450.7024,464.9305,460.7579,30
46009495251,459.7974,456.8599,466.2955,30
46009495254,450.1602,455.3402,466.2574,30
46009495259,460.4107,452.3685,469.7093,30
46009495261,469.1638,464.0847,464.7064,30
46009495263,452.0759,469.9008,463.5094,30
46009807167,457.8983,460.5889,462.6405,29
46009807175,459.696,456.3336,467.7275,29
46009807181,469.934,461.201,465.9688,29
46009807183,460.4247,459.2829,467.6255,29
46009807187,451.8964,458.4564,468.3913,29
46009807193,462.6027,469.5431,467.5117,29
46010134694,464.7552,465.2885,452.8246,28
46010134748,465.05,451.1483,461.6057,28
46010134754,450.359,463.6964,461.2798,28
46010134760,452.3913,466.9854,461.6899,28
46010134763,460.0336,459.0462,467.5119,28
46010477079,465.215,464.6303,452.3894,27
46010477102,450.9474,461.7916,456.3873,27
46010477142,450.0586,454.6364,465.9815,27
46010477143,450.2008,455.5317,466.161,27
46010477144,467.2615,463.7194,464.3851,27
46010477149,460.8926,459.521,467.3704,27
46010836890,468.9525,456.9199,463.6976,26
42000023464,462.6394,469.6907,463.5104,1533
