#OK
#SQL= select fofID, mass, np from miniMDR1..FOF as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:38:29.711 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofID,mass,np
85000719789,5.2238788E12,599
85000720846,5.2151583E12,598
85000723215,5.1977157E12,596
85000724441,5.1889953E12,595
85000724564,5.1889953E12,595
85000725710,5.1802737E12,594
85000726912,5.1715532E12,593
85000728041,5.1628322E12,592
85000728155,5.1628322E12,592
85000729250,5.1541107E12,591
85000730468,5.1453902E12,590
85000730589,5.1453902E12,590
85000731747,5.1366687E12,589
85000734207,5.1192272E12,587
85000736638,5.1017852E12,585
85000736760,5.1017852E12,585
85000736655,5.1017852E12,585
85000736759,5.1017852E12,585
85000739212,5.0843426E12,583
85000739204,5.0843426E12,583
85000740593,5.0756222E12,582
85000740592,5.0756222E12,582
85000741793,5.0669006E12,581
85000741792,5.0669006E12,581
85000742979,5.0581802E12,580
85000745560,5.0407376E12,578
85000745691,5.0407376E12,578
85000746893,5.0320171E12,577
85000747044,5.0320171E12,577
85000748205,5.0232961E12,576
85000748335,5.0232961E12,576
85000749665,5.0145751E12,575
85000750801,5.0058541E12,574
85000750821,5.0058541E12,574
85000750680,5.0058541E12,574
85000750822,5.0058541E12,574
85000750929,5.0058541E12,574
85000752257,4.9971326E12,573
85000752235,4.9971326E12,573
85000753545,4.9884121E12,572
85000753434,4.9884121E12,572
85000754729,4.9796911E12,571
85000754733,4.9796911E12,571
85000754855,4.9796911E12,571
85000754854,4.9796911E12,571
85000756211,4.9709701E12,570
85000756212,4.9709701E12,570
85000755940,4.9709701E12,570
85000757369,4.9622491E12,569
85000757494,4.9622491E12,569
85000758676,4.9535281E12,568
85000760026,4.9448071E12,567
85000761369,4.9360861E12,566
85000762697,4.9273651E12,565
85000762696,4.9273651E12,565
85000762876,4.9273651E12,565
85000762715,4.9273651E12,565
85000762878,4.9273651E12,565
85000764193,4.918644E12,564
85000764057,4.918644E12,564
85000765446,4.909923E12,563
85000765585,4.909923E12,563
85000769400,4.88376E12,560
85000769543,4.88376E12,560
85000773746,4.857597E12,557
85000773717,4.857597E12,557
85000774932,4.848876E12,556
85000774953,4.848876E12,556
85000774952,4.848876E12,556
85000775072,4.848876E12,556
85000775096,4.848876E12,556
85000776472,4.840155E12,555
85000776471,4.840155E12,555
85000777743,4.831434E12,554
85000779063,4.822713E12,553
85000780608,4.813992E12,552
85000780763,4.813992E12,552
85000780626,4.813992E12,552
85000780746,4.813992E12,552
85000782127,4.805271E12,551
85000782102,4.805271E12,551
85000782101,4.805271E12,551
85000783584,4.79655E12,550
85000783405,4.79655E12,550
85000783554,4.79655E12,550
85000783581,4.79655E12,550
85000785023,4.7878289E12,549
85000786415,4.7791079E12,548
85000786413,4.7791079E12,548
85000786414,4.7791079E12,548
85000789249,4.7616659E12,546
